track,artist,track,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
41,DUKI,2ECIwi1a7mfokdDkkJ08Ne,0.337,https://api.spotify.com/v1/audio-analysis/2ECIwi1a7mfokdDkkJ08Ne,0.795,346460,0.751,2ECIwi1a7mfokdDkkJ08Ne,0.0,8,0.0983,-3.661,1,0.0675,113.033,4,https://api.spotify.com/v1/tracks/2ECIwi1a7mfokdDkkJ08Ne,audio_features,spotify:track:2ECIwi1a7mfokdDkkJ08Ne,0.537
42,DUKI,03a359wbiUsjN9h6yzXvmS,0.345,https://api.spotify.com/v1/audio-analysis/03a359wbiUsjN9h6yzXvmS,0.854,209531,0.556,03a359wbiUsjN9h6yzXvmS,0.0,1,0.165,-4.49,1,0.14,119.938,4,https://api.spotify.com/v1/tracks/03a359wbiUsjN9h6yzXvmS,audio_features,spotify:track:03a359wbiUsjN9h6yzXvmS,0.342
43,DUKI,3VJSv1RoYiCY4ECGyDO7ry,0.375,https://api.spotify.com/v1/audio-analysis/3VJSv1RoYiCY4ECGyDO7ry,0.749,196627,0.721,3VJSv1RoYiCY4ECGyDO7ry,0.0,1,0.0849,-5.827,1,0.459,89.613,4,https://api.spotify.com/v1/tracks/3VJSv1RoYiCY4ECGyDO7ry,audio_features,spotify:track:3VJSv1RoYiCY4ECGyDO7ry,0.856
44,DUKI,668JOhJXCQeUkAsjfREN78,0.137,https://api.spotify.com/v1/audio-analysis/668JOhJXCQeUkAsjfREN78,0.769,164200,0.596,668JOhJXCQeUkAsjfREN78,0.0,7,0.127,-5.931,1,0.111,146.028,4,https://api.spotify.com/v1/tracks/668JOhJXCQeUkAsjfREN78,audio_features,spotify:track:668JOhJXCQeUkAsjfREN78,0.143
45,DUKI,3dLiBBKbeUIhzGNeuo5JGS,0.42,https://api.spotify.com/v1/audio-analysis/3dLiBBKbeUIhzGNeuo5JGS,0.641,244771,0.652,3dLiBBKbeUIhzGNeuo5JGS,1.74e-06,8,0.094,-8.575,0,0.264,175.022,4,https://api.spotify.com/v1/tracks/3dLiBBKbeUIhzGNeuo5JGS,audio_features,spotify:track:3dLiBBKbeUIhzGNeuo5JGS,0.406
46,DUKI,6HvD8JhIe9Mq6gyql32rYb,0.451,https://api.spotify.com/v1/audio-analysis/6HvD8JhIe9Mq6gyql32rYb,0.903,220311,0.785,6HvD8JhIe9Mq6gyql32rYb,2.44e-06,9,0.0772,-5.731,0,0.271,97.014,4,https://api.spotify.com/v1/tracks/6HvD8JhIe9Mq6gyql32rYb,audio_features,spotify:track:6HvD8JhIe9Mq6gyql32rYb,0.642
47,DUKI,7KAveXwQ5xzdHT6GDlNIBu,0.242,https://api.spotify.com/v1/audio-analysis/7KAveXwQ5xzdHT6GDlNIBu,0.801,244972,0.723,7KAveXwQ5xzdHT6GDlNIBu,0.0,7,0.106,-5.595,0,0.0456,123.994,4,https://api.spotify.com/v1/tracks/7KAveXwQ5xzdHT6GDlNIBu,audio_features,spotify:track:7KAveXwQ5xzdHT6GDlNIBu,0.599
48,DUKI,0vnrhysrKKRdNYFKLAGzRc,0.342,https://api.spotify.com/v1/audio-analysis/0vnrhysrKKRdNYFKLAGzRc,0.834,246383,0.753,0vnrhysrKKRdNYFKLAGzRc,0.0,8,0.108,-3.011,1,0.0486,113.058,4,https://api.spotify.com/v1/tracks/0vnrhysrKKRdNYFKLAGzRc,audio_features,spotify:track:0vnrhysrKKRdNYFKLAGzRc,0.462
49,DUKI,1zzaawknHz9bMofpqN1wVS,0.199,https://api.spotify.com/v1/audio-analysis/1zzaawknHz9bMofpqN1wVS,0.849,180800,0.521,1zzaawknHz9bMofpqN1wVS,1.28e-06,2,0.108,-7.087,1,0.236,150.017,4,https://api.spotify.com/v1/tracks/1zzaawknHz9bMofpqN1wVS,audio_features,spotify:track:1zzaawknHz9bMofpqN1wVS,0.623
50,Madeon,2CgOd0Lj5MuvOqzqdaAXtS,0.00293,https://api.spotify.com/v1/audio-analysis/2CgOd0Lj5MuvOqzqdaAXtS,0.276,218965,0.796,2CgOd0Lj5MuvOqzqdaAXtS,0.0,0,0.184,-4.499,1,0.0579,199.526,4,https://api.spotify.com/v1/tracks/2CgOd0Lj5MuvOqzqdaAXtS,audio_features,spotify:track:2CgOd0Lj5MuvOqzqdaAXtS,0.26
51,Madeon,3ArdPRbscsYB2uI70AzpuG,0.025,https://api.spotify.com/v1/audio-analysis/3ArdPRbscsYB2uI70AzpuG,0.668,204613,0.764,3ArdPRbscsYB2uI70AzpuG,0.0,8,0.314,-4.277,0,0.0487,106.036,4,https://api.spotify.com/v1/tracks/3ArdPRbscsYB2uI70AzpuG,audio_features,spotify:track:3ArdPRbscsYB2uI70AzpuG,0.685
52,Madeon,2TZ9kaTiLewawHZK7yylSC,0.00236,https://api.spotify.com/v1/audio-analysis/2TZ9kaTiLewawHZK7yylSC,0.633,195107,0.779,2TZ9kaTiLewawHZK7yylSC,0.0295,6,0.371,-3.904,1,0.0853,96.009,4,https://api.spotify.com/v1/tracks/2TZ9kaTiLewawHZK7yylSC,audio_features,spotify:track:2TZ9kaTiLewawHZK7yylSC,0.679
53,Madeon,7JSS036IjVSwD64TAr6n32,0.00666,https://api.spotify.com/v1/audio-analysis/7JSS036IjVSwD64TAr6n32,0.507,250440,0.634,7JSS036IjVSwD64TAr6n32,0.000407,4,0.357,-6.102,0,0.0335,115.023,4,https://api.spotify.com/v1/tracks/7JSS036IjVSwD64TAr6n32,audio_features,spotify:track:7JSS036IjVSwD64TAr6n32,0.209
54,Madeon,5FAFRyxvtiFzPTsKmfXudD,0.133,https://api.spotify.com/v1/audio-analysis/5FAFRyxvtiFzPTsKmfXudD,0.377,234933,0.555,5FAFRyxvtiFzPTsKmfXudD,1.57e-06,4,0.181,-6.508,1,0.0332,64.95,4,https://api.spotify.com/v1/tracks/5FAFRyxvtiFzPTsKmfXudD,audio_features,spotify:track:5FAFRyxvtiFzPTsKmfXudD,0.199
55,Madeon,2W2e6TBrwJt4ASh5jyYgvZ,0.0212,https://api.spotify.com/v1/audio-analysis/2W2e6TBrwJt4ASh5jyYgvZ,0.316,241040,0.575,2W2e6TBrwJt4ASh5jyYgvZ,0.543,11,0.257,-8.983,1,0.0429,194.942,3,https://api.spotify.com/v1/tracks/2W2e6TBrwJt4ASh5jyYgvZ,audio_features,spotify:track:2W2e6TBrwJt4ASh5jyYgvZ,0.11
56,Madeon,4PTPZeJlK1rYlYr6bf11hk,0.0227,https://api.spotify.com/v1/audio-analysis/4PTPZeJlK1rYlYr6bf11hk,0.49,192720,0.914,4PTPZeJlK1rYlYr6bf11hk,0.0,10,0.793,-3.202,1,0.167,100.1,4,https://api.spotify.com/v1/tracks/4PTPZeJlK1rYlYr6bf11hk,audio_features,spotify:track:4PTPZeJlK1rYlYr6bf11hk,0.241
57,Madeon,7vm3Z78elWY11Xl6MNuXng,0.00481,https://api.spotify.com/v1/audio-analysis/7vm3Z78elWY11Xl6MNuXng,0.546,208093,0.84,7vm3Z78elWY11Xl6MNuXng,0.00651,8,0.291,-5.557,1,0.0449,93.994,4,https://api.spotify.com/v1/tracks/7vm3Z78elWY11Xl6MNuXng,audio_features,spotify:track:7vm3Z78elWY11Xl6MNuXng,0.464
58,Madeon,3WTbsKon4Spdj8jOabrg5a,0.0136,https://api.spotify.com/v1/audio-analysis/3WTbsKon4Spdj8jOabrg5a,0.459,186320,0.695,3WTbsKon4Spdj8jOabrg5a,0.122,1,0.373,-6.204,1,0.0518,152.203,4,https://api.spotify.com/v1/tracks/3WTbsKon4Spdj8jOabrg5a,audio_features,spotify:track:3WTbsKon4Spdj8jOabrg5a,0.385
59,Madeon,4Nnsl0Ji84Bcku8uVbFbjV,0.0177,https://api.spotify.com/v1/audio-analysis/4Nnsl0Ji84Bcku8uVbFbjV,0.528,152840,0.6,4Nnsl0Ji84Bcku8uVbFbjV,0.424,8,0.106,-8.666,1,0.0404,78.01,4,https://api.spotify.com/v1/tracks/4Nnsl0Ji84Bcku8uVbFbjV,audio_features,spotify:track:4Nnsl0Ji84Bcku8uVbFbjV,0.0388
60,Rita Ora,3M9Apu4OZfylLTFKvgEtKa,0.157,https://api.spotify.com/v1/audio-analysis/3M9Apu4OZfylLTFKvgEtKa,0.647,198996,0.726,3M9Apu4OZfylLTFKvgEtKa,0.0,3,0.0844,-4.389,0,0.0552,114.996,4,https://api.spotify.com/v1/tracks/3M9Apu4OZfylLTFKvgEtKa,audio_features,spotify:track:3M9Apu4OZfylLTFKvgEtKa,0.767
61,Rita Ora,3y3brCCecHC3Db18aIOnny,0.381,https://api.spotify.com/v1/audio-analysis/3y3brCCecHC3Db18aIOnny,0.591,215316,0.705,3y3brCCecHC3Db18aIOnny,0.000116,9,0.131,-6.519,0,0.079,121.799,4,https://api.spotify.com/v1/tracks/3y3brCCecHC3Db18aIOnny,audio_features,spotify:track:3y3brCCecHC3Db18aIOnny,0.27
62,Rita Ora,6JqpFboOH2bq9pzaYbkKBn,0.18,https://api.spotify.com/v1/audio-analysis/6JqpFboOH2bq9pzaYbkKBn,0.764,187200,0.752,6JqpFboOH2bq9pzaYbkKBn,0.0,8,0.0701,-3.713,0,0.0711,100.066,4,https://api.spotify.com/v1/tracks/6JqpFboOH2bq9pzaYbkKBn,audio_features,spotify:track:6JqpFboOH2bq9pzaYbkKBn,0.698
