artist,energy,danceability,valence,instrumentalness,acousticness,speechiness,tempo,loudness
Reydel,0.7311666666666667,0.6798333333333334,0.616,0.03356267666666666,0.21476666666666663,0.15388333333333334,159.84283333333335,-6.438666666666666
Rezz,0.6769999999999999,0.6522,0.22042,0.38236070000000005,0.034644,0.09494000000000001,129.21189999999996,-6.0318
Rita Ora,0.7156,0.6368,0.5269999999999999,1.874e-05,0.18164,0.08055,110.65060000000001,-4.8581
San Holo,0.6653,0.519,0.32036000000000003,0.081407846,0.20897000000000002,0.07318,132.93490000000003,-5.337
The Hu,0.7005999999999999,0.5413,0.37560000000000004,0.3662974,0.03395,0.04122,142.41670000000002,-8.1524
The Lumineers,0.5324,0.6195999999999999,0.36802,0.0019010000000000003,0.583,0.03267,105.2233,-7.848699999999999
The Strokes,0.6974,0.5599999999999999,0.7218,0.41580995100000007,0.1595013,0.038009999999999995,129.17680000000001,-6.1099000000000006
Travis Scott,0.5976000000000001,0.7245999999999999,0.28055,2.527e-06,0.095463,0.12278,125.51499999999999,-6.2861
Trueno,0.7087,0.6748999999999999,0.6055999999999999,0.0007884620000000002,0.41324999999999995,0.33962000000000003,112.14819999999997,-8.382900000000001
Two Feet,0.49640000000000006,0.63,0.31209999999999993,0.2043678,0.4252000000000001,0.10956999999999999,117.64689999999999,-7.6531
Vampire Weekend,0.6134,0.5626,0.612,0.007361818000000001,0.31359,0.06967999999999999,140.76590000000002,-7.0097000000000005
WOS,0.8164,0.6757,0.6011,2.5191000000000003e-05,0.35000000000000003,0.21385,110.1214,-4.707800000000001
Wallows,0.7493000000000001,0.5488,0.5216,0.013167000000000002,0.0675163,0.033960000000000004,123.18319999999999,-5.156300000000001
YSY A,0.7234,0.7162999999999999,0.4772000000000001,5.541000000000001e-06,0.21559999999999996,0.08399999999999999,132.2518,-5.2277000000000005
Yung Beef,0.6370000000000001,0.7273,0.39971999999999996,0.0009228699999999999,0.12666589999999997,0.14747000000000002,104.825,-7.294500000000001
Yungblud,0.757,0.5206000000000001,0.3872,1.8899999999999999e-07,0.044157,0.12666,135.8344,-4.594600000000001
Zoe Gotusso,0.35600000000000004,0.5063333333333333,0.5246666666666667,0.0033929999999999997,0.6084999999999999,0.11096666666666667,149.98366666666666,-9.023000000000001
